id,iso_code,瑆,瓣產,ら戳,羆絋禘计,穝糤絋禘计,ぱ簿笆キА穝糤絋禘计,羆絋禘计/–κ窾,穝糤絋禘计/–κ窾,ぱ簿笆キА穝糤絋禘计/–κ窾,羆计,穝籇絑祇穝糤絋禘计
143,TWN,ㄈ瑆,芖,2022-1-1,17050,21,22.714,714.735,0.88,0.952,23855008,21
142,TWN,ㄈ瑆,芖,2022-1-2,17070,20,22.143,715.573,0.838,0.928,23855008,20
141,TWN,ㄈ瑆,芖,2022-1-3,17095,25,23.429,716.621,1.048,0.982,23855008,25
140,TWN,ㄈ瑆,芖,2022-1-4,17129,34,25.571,718.046,1.425,1.072,23855008,34
139,TWN,ㄈ瑆,芖,2022-1-5,17155,26,27.286,719.136,1.09,1.144,23855008,26
138,TWN,ㄈ瑆,芖,2022-1-6,17198,43,33.429,720.939,1.803,1.401,23855008,43
137,TWN,ㄈ瑆,芖,2022-1-7,17258,60,32.714,723.454,2.515,1.371,23855008,62
136,TWN,ㄈ瑆,芖,2022-1-8,17302,44,36,725.298,1.844,1.509,23855008,44
135,TWN,ㄈ瑆,芖,2022-1-9,17362,60,41.714,727.814,2.515,1.749,23855008,60
134,TWN,ㄈ瑆,芖,2022-1-10,17393,31,42.571,729.113,1.3,1.785,23855008,32
133,TWN,ㄈ瑆,芖,2022-1-11,17463,70,47.714,732.048,2.934,2,23855008,70
132,TWN,ㄈ瑆,芖,2022-1-12,17559,96,57.714,736.072,4.024,2.419,23855008,96
131,TWN,ㄈ瑆,芖,2022-1-13,17624,65,60.857,738.797,2.725,2.551,23855008,65
130,TWN,ㄈ瑆,芖,2022-1-14,17692,68,62,741.647,2.851,2.599,23855008,68
129,TWN,ㄈ瑆,芖,2022-1-15,17769,77,66.714,744.875,3.228,2.797,23855008,78
128,TWN,ㄈ瑆,芖,2022-1-16,17820,51,65.429,747.013,2.138,2.743,23855008,51
127,TWN,ㄈ瑆,芖,2022-1-17,17885,65,70.286,749.738,2.725,2.946,23855008,65
126,TWN,ㄈ瑆,芖,2022-1-18,17951,66,69.714,752.504,2.767,2.922,23855008,66
125,TWN,ㄈ瑆,芖,2022-1-19,18005,54,63.714,754.768,2.264,2.671,23855008,54
124,TWN,ㄈ瑆,芖,2022-1-20,18041,36,59.571,756.277,1.509,2.497,23855008,37
123,TWN,ㄈ瑆,芖,2022-1-21,18109,68,59.571,759.128,2.851,2.497,23855008,68
122,TWN,ㄈ瑆,芖,2022-1-22,18239,130,67.143,764.577,5.45,2.815,23855008,130
121,TWN,ㄈ瑆,芖,2022-1-23,18325,86,72.143,768.183,3.605,3.024,23855008,89
120,TWN,ㄈ瑆,芖,2022-1-24,18376,51,70.143,770.32,2.138,2.94,23855008,51
119,TWN,ㄈ瑆,芖,2022-1-25,18411,35,65.714,771.788,1.467,2.755,23855008,38
118,TWN,ㄈ瑆,芖,2022-1-26,18503,92,71.143,775.644,3.857,2.982,23855008,92
117,TWN,ㄈ瑆,芖,2022-1-27,18566,63,75,778.285,2.641,3.144,23855008,64
116,TWN,ㄈ瑆,芖,2022-1-28,18634,68,75,781.136,2.851,3.144,23855008,71
115,TWN,ㄈ瑆,芖,2022-1-29,18681,47,63.143,783.106,1.97,2.647,23855008,48
114,TWN,ㄈ瑆,芖,2022-1-30,18735,54,58.571,785.37,2.264,2.455,23855008,54
113,TWN,ㄈ瑆,芖,2022-1-31,18790,55,59.143,787.675,2.306,2.479,23855008,55
112,TWN,ㄈ瑆,芖,2022-2-1,18850,60,62.714,790.19,2.515,2.629,23855008,60
111,TWN,ㄈ瑆,芖,2022-2-2,18903,53,57.143,792.412,2.222,2.395,23855008,53
110,TWN,ㄈ瑆,芖,2022-2-3,18958,55,56,794.718,2.306,2.348,23855008,56
109,TWN,ㄈ瑆,芖,2022-2-4,19029,71,56.429,797.694,2.976,2.365,23855008,71
108,TWN,ㄈ瑆,芖,2022-2-5,19101,72,60,800.712,3.018,2.515,23855008,72
107,TWN,ㄈ瑆,芖,2022-2-6,19144,43,58.429,802.515,1.803,2.449,23855008,43
106,TWN,ㄈ瑆,芖,2022-2-7,19192,48,57.429,804.527,2.012,2.407,23855008,49
105,TWN,ㄈ瑆,芖,2022-2-8,19239,47,55.571,806.497,1.97,2.33,23855008,48
104,TWN,ㄈ瑆,芖,2022-2-9,19293,54,55.714,808.761,2.264,2.336,23855008,54
103,TWN,ㄈ瑆,芖,2022-2-10,19376,83,59.714,812.24,3.479,2.503,23855008,83
102,TWN,ㄈ瑆,芖,2022-2-11,19455,79,60.857,815.552,3.312,2.551,23855008,79
101,TWN,ㄈ瑆,芖,2022-2-12,19515,60,59.143,818.067,2.515,2.479,23855008,60
100,TWN,ㄈ瑆,芖,2022-2-13,19567,52,60.429,820.247,2.18,2.533,23855008,52
99,TWN,ㄈ瑆,芖,2022-2-14,19621,54,61.286,822.511,2.264,2.569,23855008,54
98,TWN,ㄈ瑆,芖,2022-2-15,19666,45,61,824.397,1.886,2.557,23855008,45
97,TWN,ㄈ瑆,芖,2022-2-16,19732,66,62.714,827.164,2.767,2.629,23855008,67
96,TWN,ㄈ瑆,芖,2022-2-17,19797,65,60.143,829.889,2.725,2.521,23855008,68
95,TWN,ㄈ瑆,芖,2022-2-18,19864,67,58.429,832.697,2.809,2.449,23855008,67
94,TWN,ㄈ瑆,芖,2022-2-19,19937,73,60.286,835.757,3.06,2.527,23855008,73
93,TWN,ㄈ瑆,芖,2022-2-20,19937,0,52.857,835.757,0,2.216,23855008,73
92,TWN,ㄈ瑆,芖,2022-2-21,20056,119,62.143,840.746,4.988,2.605,23855008,49
91,TWN,ㄈ瑆,芖,2022-2-22,20100,44,62,842.59,1.844,2.599,23855008,44
90,TWN,ㄈ瑆,芖,2022-2-23,20156,56,60.571,844.938,2.348,2.539,23855008,56
89,TWN,ㄈ瑆,芖,2022-2-24,20236,80,62.714,848.291,3.354,2.629,23855008,80
88,TWN,ㄈ瑆,芖,2022-2-25,20304,68,62.857,851.142,2.851,2.635,23855008,68
87,TWN,ㄈ瑆,芖,2022-2-26,20373,69,62.286,854.035,2.892,2.611,23855008,69
86,TWN,ㄈ瑆,芖,2022-2-27,20433,60,70.857,856.55,2.515,2.97,23855008,60
85,TWN,ㄈ瑆,芖,2022-2-28,20489,56,61.857,858.897,2.348,2.593,23855008,56
84,TWN,ㄈ瑆,芖,2022-3-1,20533,44,61.857,860.742,1.844,2.593,23855008,44
83,TWN,ㄈ瑆,芖,2022-3-2,20582,49,60.857,862.796,2.054,2.551,23855008,49
82,TWN,ㄈ瑆,芖,2022-3-3,20653,71,59.571,865.772,2.976,2.497,23855008,71
81,TWN,ㄈ瑆,芖,2022-3-4,20717,64,59,868.455,2.683,2.473,23855008,64
80,TWN,ㄈ瑆,芖,2022-3-5,20797,80,60.571,871.809,3.354,2.539,23855008,80
79,TWN,ㄈ瑆,芖,2022-3-6,20840,43,58.143,873.611,1.803,2.437,23855008,43
78,TWN,ㄈ瑆,芖,2022-3-7,20869,29,54.286,874.827,1.216,2.276,23855008,29
77,TWN,ㄈ瑆,芖,2022-3-8,20922,53,55.571,877.049,2.222,2.33,23855008,53
76,TWN,ㄈ瑆,芖,2022-3-9,20999,77,59.571,880.276,3.228,2.497,23855008,77
75,TWN,ㄈ瑆,芖,2022-3-10,21081,82,61.143,883.714,3.437,2.563,23855008,82
74,TWN,ㄈ瑆,芖,2022-3-11,21163,82,63.714,887.151,3.437,2.671,23855008,82
73,TWN,ㄈ瑆,芖,2022-3-12,21225,62,61.143,889.75,2.599,2.563,23855008,62
72,TWN,ㄈ瑆,芖,2022-3-13,21288,63,64,892.391,2.641,2.683,23855008,63
71,TWN,ㄈ瑆,芖,2022-3-14,21363,75,70.571,895.535,3.144,2.958,23855008,75
70,TWN,ㄈ瑆,芖,2022-3-15,21402,39,68.571,897.17,1.635,2.874,23855008,39
69,TWN,ㄈ瑆,芖,2022-3-16,21492,90,70.429,900.943,3.773,2.952,23855008,90
68,TWN,ㄈ瑆,芖,2022-3-17,21583,91,71.714,904.758,3.815,3.006,23855008,91
67,TWN,ㄈ瑆,芖,2022-3-18,21658,75,70.714,907.902,3.144,2.964,23855008,75
66,TWN,ㄈ瑆,芖,2022-3-19,21784,126,79.857,913.184,5.282,3.348,23855008,126
65,TWN,ㄈ瑆,芖,2022-3-20,21905,121,88.143,918.256,5.072,3.695,23855008,121
64,TWN,ㄈ瑆,芖,2022-3-21,22003,98,91.429,922.364,4.108,3.833,23855008,98
63,TWN,ㄈ瑆,芖,2022-3-22,22091,88,98.429,926.053,3.689,4.126,23855008,89
62,TWN,ㄈ瑆,芖,2022-3-23,22188,97,99.429,930.119,4.066,4.168,23855008,97
61,TWN,ㄈ瑆,芖,2022-3-24,22327,139,106.286,935.946,5.827,4.456,23855008,139
60,TWN,ㄈ瑆,芖,2022-3-25,22463,136,115,941.647,5.701,4.821,23855008,136
59,TWN,ㄈ瑆,芖,2022-3-26,22566,103,111.714,945.965,4.318,4.683,23855008,103
58,TWN,ㄈ瑆,芖,2022-3-27,22769,203,123.429,954.475,8.51,5.174,23855008,203
